Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
Auris Medical Holding,EARS,0.48,0.50,0.47,0.49,0.01,1.71,380909,1.39,0.38,...,...,... dd,-17.36,NASDAQ Capital
AutoWeb,AUTO,9.50,9.50,9.07,9.28,-0.10,-1.07,135117,14.79,6.63,...,...,54.59,3.00,NASDAQ Capital
Avenue Therapeutics,ATXI,3.97,4.15,3.85,4.02,0.04,1.01,8712,8.58,3.40,...,...,...,11.05,NASDAQ Capital
Avid Bioservices,CDMO,3.85,3.92,3.71,3.91,0.10,2.62,118500,5.78,1.98,...,...,... dd,0.77,NASDAQ Capital
Aviragen Therapeutics,AVIR,0.70,0.70,0.63,0.65,-0.03,-4.27,1230620,1.50,0.43,...,...,... dd,14.78,NASDAQ Capital
Avista Healthcare Public Acquisition Cl A,AHPA,9.98,10.00,9.90,9.90,-0.08,-0.80,78054,10.18,9.28,...,...,...,-0.20,NASDAQ Capital
Avista Healthcare Public Acquisition WT,AHPAW,0.39,0.39,0.39,0.39,-0.01,-2.50,300,0.58,0.20,...,...,...,39.24,NASDAQ Capital
AxoGen,AXGN,28.15,28.40,27.20,27.30,-0.70,-2.50,315403,31.70,8.75,...,...,... dd,-3.53,NASDAQ Capital
Aytu BioScience,AYTU,2.90,3.90,2.80,3.43,0.62,22.07,670005,6.82,0.17,...,...,... dd,53.82,NASDAQ Capital
AzurRx BioPharma,AZRX,3.64,3.71,3.28,3.48,-0.02,-0.57,121694,5.25,2.40,...,...,... dd,-4.32,NASDAQ Capital
Bancorp 34,BCTF,15.29,15.29,14.95,14.98,0.03,0.20,2879,15.29,12.50,...,...,9.87,1.56,NASDAQ Capital
Bank of Marin Bancorp,BMRC,71.85,72.35,70.90,71.70,0.45,0.63,12435,77.90,59.05,1.16,1.62,21.47,5.44,NASDAQ Capital
Bank of South Carolina,BKSC,19.25,19.25,19.00,19.20,-0.05,-0.26,2286,22.00,17.35,0.60,3.13,18.29,-0.57,NASDAQ Capital
Bank of the James Financial Group,BOTJ,14.90,15.16,14.90,15.16,0.30,2.02,1416,18.50,13.87,0.24,1.58,23.32,1.54,NASDAQ Capital
Barington/Hilco Acquisition WT,BHACW,0.25,0.25,0.25,0.25,-0.00,-0.76,2123,0.26,0.03,...,...,...,254.29,NASDAQ Capital
Bay Bancorp,BYBK,12.45,12.54,12.25,12.40,0.01,0.07,27604,12.54,6.75,...,...,26.38,1.43,NASDAQ Capital
Benitec Biopharma ADR,BNTC,4.10,4.20,3.81,3.96,0.33,9.06,322377,5.48,1.55,...,...,... dd,33.78,NASDAQ Capital
Benitec Biopharma WT,BNTCW,0.40,0.47,0.40,0.45,0.05,12.86,16661,1.09,0.06,...,...,...,12.55,NASDAQ Capital
BeyondSpring,BYSI,25.74,27.60,23.41,23.41,-2.33,-9.05,12458,48.49,16.55,...,...,... dd,-19.50,NASDAQ Capital
Big Rock Partners Acquisition Un,BRPAU,10.25,10.25,10.24,10.25,-0.05,-0.49,700,10.50,9.99,...,...,...,0.15,NASDAQ Capital
Bioanalytical Systems,BASI,2.40,2.40,2.01,2.17,-0.23,-9.58,142753,2.95,0.69,...,...,19.38,-11.43,NASDAQ Capital
Bioblast Pharma,ORPN,2.64,2.78,2.58,2.62,0.03,1.34,28914,7.75,1.49,...,...,... dd,14.82,NASDAQ Capital
Biocept,BIOC,0.73,0.73,0.70,0.71,-0.02,-2.72,269011,2.76,0.60,...,...,... dd,2.05,NASDAQ Capital
BioDelivery Sciences International,BDSI,2.80,2.85,2.55,2.60,-0.23,-7.96,612774,3.60,1.55,...,...,26.00,-11.86,NASDAQ Capital
BIO-key International,BKYI,2.20,2.30,2.00,2.08,-0.02,-0.95,39442,3.67,1.20,...,...,... dd,17.51,NASDAQ Capital
Biolase,BIOL,0.53,0.53,0.50,0.52,0.02,3.94,122398,1.87,0.28,...,...,... dd,21.95,NASDAQ Capital
BioLife Solutions,BLFS,5.62,5.74,5.52,5.60,-0.11,-1.93,104661,7.53,1.69,...,...,... dd,-6.67,NASDAQ Capital
BioLine RX ADR,BLRX,1.18,1.19,1.04,1.08,-0.08,-6.90,2340440,1.38,0.80,...,...,... dd,-0.92,NASDAQ Capital
Biomerica,BMRA,4.87,4.94,4.30,4.51,-0.44,-8.89,206521,9.32,1.93,...,...,... dd,20.59,NASDAQ Capital
Biondvax Pharmaceuticals ADR,BVXV,5.90,6.07,5.77,5.84,-0.05,-0.85,12177,10.75,4.20,...,...,...,8.96,NASDAQ Capital
Bio-Path Holdings,BPTH,0.22,0.23,0.20,0.22,-0.01,-2.48,719640,1.10,0.18,...,...,... dd,8.64,NASDAQ Capital
Biostar Pharmaceuticals,BSPM,2.00,2.09,1.98,2.00,-0.02,-0.99,77176,3.09,1.18,...,...,5.64,12.99,NASDAQ Capital
Bison Capital Acquisition Rt,BCACR,0.38,0.38,0.34,0.38,0.02,5.13,17893,0.38,0.25,...,...,...,...,NASDAQ Capital
Black Ridge Acquisition,BRACU,10.15,10.15,10.15,10.15,-0.02,-0.20,1000,10.30,9.97,...,...,...,0.12,NASDAQ Capital
Black Ridge Acquisition,BRAC,9.67,9.67,9.67,9.67,...,...,203,9.70,9.52,...,...,...,0.21,NASDAQ Capital
Black Ridge Acquisition WT,BRACW,0.29,0.29,0.29,0.29,...,...,1000,0.35,0.24,...,...,...,-12.12,NASDAQ Capital
Bonso Electronics International,BNSO,2.98,3.00,2.95,2.95,-0.04,-1.34,11978,3.31,1.96,...,...,5.57,20.41,NASDAQ Capital
Borqs Technologies,BRQS,6.45,6.70,6.20,6.45,...,...,10092,10.50,4.00,...,...,...,18.35,NASDAQ Capital
B.O.S. Better Online Solutions,BOSC,2.23,2.35,2.17,2.20,-0.10,-4.34,111072,2.97,1.53,...,...,10.00,0.46,NASDAQ Capital
Boston Omaha,BOMN,23.50,23.97,22.45,22.56,-1.12,-4.73,169459,35.49,12.15,...,...,... dd,-30.35,NASDAQ Capital
Boxlight Cl A,BOXL,6.37,6.37,6.03,6.03,-0.94,-13.55,342,9.17,5.01,...,...,... dd,4.10,NASDAQ Capital
Brainstorm Cell Therapeutics,BCLI,3.61,3.61,3.32,3.46,-0.11,-3.08,54111,5.18,2.57,...,...,... dd,-11.73,NASDAQ Capital
Bridgeline Digital,BLIN,2.52,2.63,2.50,2.56,-0.01,-0.28,23332,5.10,1.86,...,...,...,5.44,NASDAQ Capital
Broadvision,BVSN,3.50,3.54,3.35,3.45,-0.05,-1.43,15375,5.95,2.65,...,...,... dd,-4.17,NASDAQ Capital
Broadway Financial,BYFC,2.29,2.47,2.29,2.47,0.15,6.47,8219,2.67,1.47,...,...,14.53,4.66,NASDAQ Capital
Broadwind Energy,BWEN,2.80,2.93,2.76,2.82,0.04,1.44,49066,9.80,2.34,...,...,11.75,3.68,NASDAQ Capital
BSB Bancorp,BLMT,30.41,30.75,30.32,30.60,0.25,0.82,9575,32.15,26.65,...,...,18.21,4.62,NASDAQ Capital
Caladrius Biosciences,CLBS,4.17,4.46,4.10,4.16,0.08,1.96,147361,7.79,2.63,...,...,1.97,18.52,NASDAQ Capital
Cambium Learning Group,ABCD,6.66,7.19,6.66,6.87,0.21,3.15,198382,7.30,4.55,...,...,19.08,20.95,NASDAQ Capital
Cambridge Bancorp,CATC,78.96,78.96,77.00,77.00,-1.93,-2.45,2561,87.15,70.00,1.88,2.44,17.20,-3.51,NASDAQ Capital
Cancer Genetics,CGIX,2.05,2.10,2.00,2.05,0.05,2.50,308259,5.30,1.65,...,...,... dd,10.81,NASDAQ Capital
Capricor Therapeutics,CAPR,1.82,1.85,1.67,1.70,-0.08,-4.49,282789,4.25,0.63,...,...,... dd,7.59,NASDAQ Capital
Capstone Turbine,CPST,0.82,0.84,0.78,0.80,-0.01,-0.74,840803,1.35,0.58,...,...,... dd,3.90,NASDAQ Capital
Cardiome Pharma,CRME,1.63,1.64,1.54,1.55,-0.05,-3.13,83412,4.84,1.29,...,...,... dd,...,NASDAQ Capital
Carolina Financial,CARO,38.64,38.90,38.02,38.23,-0.27,-0.70,197869,39.59,27.30,0.20,0.52,20.89,2.91,NASDAQ Capital
Carolina Trust BancShares,CART,9.43,9.60,9.43,9.60,-0.05,-0.54,785,12.00,6.61,...,...,43.64,0.52,NASDAQ Capital
Carver Bancorp,CARV,2.99,3.03,2.83,2.83,-0.27,-8.71,11153,7.95,2.01,...,...,... dd,-2.69,NASDAQ Capital
CASI Pharmaceuticals,CASI,4.11,4.11,3.73,3.79,0.04,1.07,366843,4.84,0.91,...,...,... dd,16.62,NASDAQ Capital
CAS Medical Systems,CASM,1.01,1.05,0.99,1.05,0.03,2.94,67939,1.74,0.59,...,...,... dd,36.38,NASDAQ Capital
Catalyst Biosciences,CBIO,15.11,15.17,14.18,14.18,-0.95,-6.28,226456,18.88,3.11,...,...,... dd,3.96,NASDAQ Capital
Catalyst Pharmaceuticals,CPRX,3.93,3.96,3.71,3.81,-0.11,-2.81,816608,4.51,1.03,...,...,... dd,-2.56,NASDAQ Capital
Catasys,CATS,4.80,4.80,4.40,4.66,0.33,7.62,173127,14.00,3.30,...,...,... dd,24.27,NASDAQ Capital
Celcuity,CELC,19.73,19.90,19.10,19.18,-0.46,-2.34,21318,22.73,11.10,...,...,...,1.21,NASDAQ Capital
Cellectar Biosciences,CLRB,1.19,1.20,1.16,1.17,-0.03,-2.50,125923,3.07,1.06,...,...,...,-14.60,NASDAQ Capital
Cellectar Biosciences WT Series A,CLRBZ,0.49,0.49,0.49,0.49,0.01,2.08,1300,1.00,0.29,...,...,...,-2.00,NASDAQ Capital
Cellect Biotechnology ADR,APOP,9.07,9.11,8.50,8.88,0.12,1.37,59955,13.50,2.94,...,...,...,26.86,NASDAQ Capital
Cellect Biotechnology WT,APOPW,2.40,2.50,2.40,2.41,0.11,4.78,4147,4.80,0.38,...,...,...,14.22,NASDAQ Capital
Celsion,CLSN,2.76,2.80,2.61,2.65,-0.10,-3.64,460064,8.75,1.24,...,...,... dd,-1.12,NASDAQ Capital
Celsius Holdings,CELH,5.30,5.45,5.30,5.45,0.10,1.87,35245,7.00,2.98,...,...,... dd,3.81,NASDAQ Capital
Cemtrex,CETX,2.60,2.64,2.50,2.62,0.04,1.35,121740,7.50,2.38,...,...,7.71,2.81,NASDAQ Capital
Centennial Resource Development,CDEV,20.28,20.49,19.83,19.92,-0.37,-1.82,1463124,22.11,14.10,...,...,142.29,0.61,NASDAQ Capital
Central Federal,CFBK,2.66,2.68,2.60,2.62,-0.04,-1.49,12112,3.64,1.68,...,...,37.43,-4.73,NASDAQ Capital
Central Valley Community Bancorp,CVCY,20.30,20.74,20.30,20.45,0.33,1.64,67997,23.94,17.62,0.24,1.17,15.49,1.34,NASDAQ Capital
Century Casinos,CNTY,9.51,9.74,9.42,9.46,-0.04,-0.42,95782,9.85,6.28,...,...,15.81,3.61,NASDAQ Capital
Cerecor,CERC,2.72,2.72,2.51,2.60,-0.14,-5.11,210635,4.25,0.34,...,...,260.00,-18.75,NASDAQ Capital
Cerecor WT Cl A,CERCW,0.19,0.23,0.14,0.14,-0.12,-47.13,4469,0.60,0.01,...,...,...,-53.33,NASDAQ Capital
Cesca Therapeutics,KOOL,3.20,3.20,3.00,3.09,-0.05,-1.58,109926,6.44,2.62,...,...,...,3.00,NASDAQ Capital
Champions Oncology,CSBR,4.14,4.30,3.93,4.14,-0.01,-0.24,35567,4.79,2.19,...,...,... dd,6.70,NASDAQ Capital
Chanticleer Holdings,BURG,3.00,3.31,3.00,3.06,-0.14,-4.38,63427,6.89,1.81,...,...,... dd,16.35,NASDAQ Capital
Charles&Colvard,CTHR,1.37,1.40,1.31,1.33,-0.04,-2.69,63749,1.55,0.80,...,...,... dd,-1.48,NASDAQ Capital
Charter Financial,CHFN,18.39,19.21,18.08,18.11,-0.20,-1.09,16396,21.11,15.81,0.30,1.66,19.06,3.25,NASDAQ Capital
Check-Cap,CHEK,1.10,1.10,0.90,0.91,-0.07,-6.78,865187,2.55,0.80,...,...,... dd,4.62,NASDAQ Capital
Checkpoint Therapeutics,CKPT,3.79,4.26,3.70,3.91,0.21,5.68,127510,15.00,3.20,...,...,... dd,0.77,NASDAQ Capital
Chembio Diagnostics,CEMI,8.85,9.00,8.70,8.75,-0.25,-2.78,16206,9.20,5.05,...,...,... dd,6.71,NASDAQ Capital
CHF Solutions,CHFS,3.57,3.62,3.48,3.51,-0.11,-3.04,201638,181.60,2.87,...,...,... dd,1.45,NASDAQ Capital
China Advanced Construction Materials Group,CADC,4.40,4.41,4.15,4.25,-0.15,-3.41,38032,9.75,1.55,...,...,... dd,-1.16,NASDAQ Capital
China Auto Logistics,CALI,4.00,4.13,3.67,4.11,0.16,4.05,48582,4.69,1.30,...,...,... dd,28.44,NASDAQ Capital
China Automotive Systems,CAAS,4.93,5.19,4.91,4.91,-0.02,-0.41,47625,5.90,4.30,...,...,6.14,2.29,NASDAQ Capital
China Ceramics,CCCL,2.41,2.47,2.26,2.27,-0.14,-5.85,41067,4.28,1.25,...,...,... dd,-5.06,NASDAQ Capital
China Commercial Credit,CCCR,1.75,1.75,1.62,1.63,-0.10,-5.51,223738,4.00,0.89,...,...,... dd,18.12,NASDAQ Capital
China Customer Relations Centers,CCRC,20.64,20.96,20.26,20.48,-0.02,-0.10,235556,21.10,11.59,...,...,48.76,20.12,NASDAQ Capital
China Information Technology,CNIT,2.93,3.15,2.65,2.69,-0.30,-10.03,1256523,5.20,0.57,...,...,... dd,81.76,NASDAQ Capital
China Jo-Jo Drugstores,CJJD,1.49,1.54,1.40,1.43,-0.04,-2.72,48965,2.18,1.17,...,...,... dd,15.32,NASDAQ Capital
China Lending,CLDC,3.02,3.08,2.81,2.83,-0.23,-7.52,13242,8.30,2.00,...,...,... dd,-9.00,NASDAQ Capital
China Natural Resources,CHNR,3.70,3.88,3.15,3.21,-0.41,-11.33,31615,4.23,1.88,...,...,... dd,20.22,NASDAQ Capital
ChinaNet Online Holdings,CNET,4.50,4.54,4.20,4.28,-0.52,-10.83,1734085,11.90,0.90,...,...,... dd,292.66,NASDAQ Capital
China Recycling Energy,CREG,3.18,3.19,2.96,3.04,-0.09,-2.88,185126,9.39,0.95,...,...,... dd,8.57,NASDAQ Capital
ChromaDex,CDXC,6.21,6.26,5.83,5.85,-0.33,-5.34,585040,7.24,2.26,...,...,... dd,-0.51,NASDAQ Capital
Citius Pharmaceuticals,CTXR,4.10,4.10,3.75,3.84,-0.26,-6.34,47416,14.63,2.56,...,...,... dd,1.05,NASDAQ Capital
Citius Pharmaceuticals WT,CTXRW,1.20,1.20,0.70,0.71,-0.04,-5.32,3717,1.25,0.21,...,...,...,18.35,NASDAQ Capital
Citizens&Northern,CZNC,24.75,24.94,24.44,24.79,0.25,1.02,32776,26.75,22.00,1.04,4.20,19.22,3.29,NASDAQ Capital
Civista Bancshares,CIVB,22.40,22.76,22.07,22.13,-0.19,-0.85,13851,23.76,18.59,0.28,1.27,16.89,0.59,NASDAQ Capital
Clean Diesel Technologies,CDTI,1.52,1.57,1.45,1.47,-0.05,-3.61,192844,3.72,1.26,...,...,... dd,-6.37,NASDAQ Capital
ClearOne,CLRO,8.50,8.50,8.25,8.35,-0.30,-3.47,7361,12.60,6.70,0.28,3.35,... dd,-6.70,NASDAQ Capital
ClearSign Combustion,CLIR,2.45,2.50,2.40,2.50,...,...,213389,4.70,1.75,...,...,... dd,-30.56,NASDAQ Capital
Cleveland BioLabs,CBLI,3.92,3.98,3.79,3.88,-0.01,-0.26,5683,5.55,1.35,...,...,... dd,-3.24,NASDAQ Capital
CM Seven Star Acquisition,CMSS,9.65,9.65,9.65,9.65,-0.01,-0.10,250,9.68,9.59,...,...,...,-0.00,NASDAQ Capital
CM Seven Star Acquisition WT,CMSSW,0.24,0.24,0.24,0.24,...,0.04,100,0.31,0.24,...,...,...,-17.17,NASDAQ Capital
Coastway Bancorp,CWAY,22.00,22.00,21.80,22.00,0.13,0.57,3326,22.00,15.95,...,...,29.58,3.77,NASDAQ Capital
Coda Octopus Group,CODA,4.70,4.70,4.59,4.65,-0.05,-1.06,9247,7.00,3.55,...,...,7.21,-2.56,NASDAQ Capital
Co-Diagnostics,CODX,3.25,3.25,2.86,2.99,-0.21,-6.56,36505,6.85,2.35,...,...,...,13.26,NASDAQ Capital
Coffee Holding,JVA,4.39,4.52,4.32,4.39,0.05,1.15,10801,5.09,3.76,...,...,43.77,3.13,NASDAQ Capital
Cogentix Medical,CGNT,2.91,2.96,2.87,2.90,-0.04,-1.36,38922,3.34,1.55,...,...,... dd,-7.94,NASDAQ Capital
Cohbar,CWBR,5.00,5.70,5.00,5.64,0.78,16.15,74245,6.60,4.80,...,...,... dd,13.58,NASDAQ Capital
Community Bankers Trust,ESXB,8.20,8.45,8.10,8.20,-0.05,-0.61,54966,9.35,6.95,...,...,17.45,0.61,NASDAQ Capital
Community Financial,TCFC,37.21,37.22,36.26,36.28,-0.57,-1.55,2965,40.69,28.58,0.40,1.10,17.28,-5.27,NASDAQ Capital
Community First Bancshares,CFBI,11.48,11.48,11.35,11.39,-0.07,-0.61,11372,15.00,11.28,...,...,62.86,-1.81,NASDAQ Capital
Comstock Holding Cl A,CHCI,1.71,1.73,1.65,1.68,-0.02,-1.44,68856,3.90,1.20,...,...,... dd,-1.44,NASDAQ Capital
Constellation Alpha Capital Rt,CNACR,0.44,0.44,0.40,0.44,0.06,15.58,10608,0.44,0.25,...,...,...,41.68,NASDAQ Capital
Constellation Alpha Capital Un,CNACU,10.02,10.35,10.02,10.35,-0.01,-0.10,1400,10.50,8.22,...,...,...,1.67,NASDAQ Capital
Constellation Alpha Capital WT,CNACW,0.26,0.26,0.26,0.26,-0.04,-13.04,800,0.30,0.20,...,...,...,18.18,NASDAQ Capital
ContraFect,CFRX,1.23,1.23,1.12,1.15,-0.04,-3.36,132043,2.50,0.80,...,...,... dd,13.86,NASDAQ Capital
ContraVir Pharmaceuticals,CTRV,0.33,0.34,0.32,0.33,-0.01,-3.20,290190,1.96,0.32,...,...,... dd,-8.33,NASDAQ Capital
Corbus Pharmaceuticals Holdings,CRBP,8.25,8.45,7.90,7.90,-0.30,-3.66,656158,10.50,5.30,...,...,... dd,11.27,NASDAQ Capital
Corcept Therapeutics,CORT,21.06,21.75,21.02,21.31,0.66,3.20,1605376,21.75,6.70,...,...,73.48,18.00,NASDAQ Capital
CounterPath,CPAH,6.62,7.30,6.50,6.75,0.09,1.35,499968,7.30,1.75,...,...,... dd,110.28,NASDAQ Capital
