Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
Auryn Resources, AUG, 1.62, 1.68, 1.62, 1.65, 0.02, 1.23, 103481, 3.0, 1.29, 0.0, 0.0, 0.0, 0.61, NYSE American
500.com ADR, WBAI, 12.15, 12.6, 12.11, 12.39, 0.15, 1.23, 136590, 14.9, 8.12, 0.0, 0.0, 0.0, 22.55, NYSE
Exelon, EXC, 38.34, 38.77, 38.25, 38.68, 0.47, 1.23, 6764302, 42.67, 33.3, 1.31, 3.39, 17.35, -1.85, NYSE
Southern, SO, 44.08, 44.69, 44.03, 44.62, 0.54, 1.23, 6257233, 53.51, 43.16, 2.32, 5.2, 81.13, -7.22, NYSE
Vistra Energy, VST, 19.27, 19.75, 19.35, 19.72, 0.24, 1.23, 2985392, 21.2, 14.5, 0.0, 0.0, 0.36, 7.64, NYSE
AcelRx Pharmaceuticals, ACRX, 2.0, 2.05, 2.0, 2.05, 0.02, 1.23, 210143, 5.75, 1.55, 0.0, 0.0, 0.0, 1.23, NASDAQ Global
Dawson Geophysical, DWSN, 6.56, 6.81, 6.49, 6.6, 0.08, 1.23, 77202, 8.55, 3.7, 0.0, 0.0, 0.0, 32.8, NASDAQ Global
Momenta Pharmaceuticals, MNTA, 16.5, 16.8, 16.1, 16.45, 0.2, 1.23, 351423, 19.9, 11.85, 0.0, 0.0, 0.0, 17.92, NASDAQ Global
Quidel, QDEL, 48.02, 48.66, 47.8, 48.61, 0.59, 1.23, 597652, 49.47, 18.25, 0.0, 0.0, 0.0, 12.13, NASDAQ Global
SLM, SLM, 11.45, 11.59, 11.29, 11.54, 0.14, 1.23, 5383790, 13.2, 9.65, 0.21, 1.86, 18.61, 2.12, NASDAQ Global
Advanced Drainage Systems, WMS, 24.55, 24.95, 24.45, 24.95, 0.3, 1.22, 170174, 25.5, 17.9, 0.28, 1.12, 67.43, 4.61, NYSE
Milacron Holdings, MCRN, 19.07, 19.25, 18.82, 19.15, 0.23, 1.22, 252152, 19.57, 15.09, 0.0, 0.0, 0.0, 0.05, NYSE
Herman Miller, MLHR, 41.1, 41.5, 40.65, 41.5, 0.5, 1.22, 288062, 41.84, 28.55, 0.72, 1.73, 20.49, 3.62, NASDAQ Global
Martin Midstream Partners, MMLP, 16.45, 16.8, 16.35, 16.6, 0.2, 1.22, 197207, 20.9, 12.7, 2.0, 12.05, 35.88, 18.57, NASDAQ Global
OSI Systems, OSIS, 66.7, 67.87, 66.0, 67.38, 0.81, 1.22, 248564, 96.64, 53.8, 0.0, 0.0, 42.92, 4.66, NASDAQ Global
Resources Connection, RECN, 16.45, 16.6, 16.4, 16.55, 0.2, 1.22, 110589, 17.45, 12.05, 0.48, 2.9, 28.53, 7.12, NASDAQ Global
Walgreens Boots Alliance, WBA, 77.85, 78.44, 77.35, 78.27, 0.94, 1.22, 3950768, 88.0, 63.82, 1.6, 2.04, 21.62, 7.78, NASDAQ Global
Lantronix, LTRX, 2.47, 2.53, 2.42, 2.5, 0.03, 1.21, 97283, 4.09, 1.62, 0.0, 0.0, 0.0, 23.76, NASDAQ Capital
Consolidated Edison, ED, 79.42, 80.51, 79.42, 80.38, 0.96, 1.21, 2598205, 89.7, 72.51, 2.86, 3.56, 20.12, -5.38, NYSE
H.B. Fuller, FUL, 54.87, 55.0, 53.44, 53.57, 0.64, 1.21, 1146324, 58.74, 48.2, 0.6, 1.12, 47.41, -0.56, NYSE
Rosetta Stone, RST, 12.48, 12.54, 12.36, 12.54, 0.15, 1.21, 101235, 13.67, 7.41, 0.0, 0.0, 0.0, 0.56, NYSE
Safeguard Scientifics, SFE, 12.55, 12.6, 12.25, 12.5, 0.15, 1.21, 165186, 14.4, 10.65, 0.0, 0.0, 0.0, 11.61, NYSE
Stepan, SCL, 78.96, 80.76, 78.86, 80.26, 0.96, 1.21, 110910, 92.97, 68.51, 0.9, 1.12, 20.79, 1.63, NYSE
Mellanox Technologies, MLNX, 66.75, 67.65, 65.9, 66.7, 0.8, 1.21, 829159, 69.0, 40.7, 0.0, 0.0, 0.0, 3.09, NASDAQ Global
Buckle, BKE, 21.0, 21.25, 20.6, 21.15, 0.25, 1.2, 389342, 25.11, 13.5, 1.0, 4.73, 12.23, -10.95, NYSE
Hill-Rom Holdings, HRC, 90.44, 91.11, 90.14, 91.01, 1.08, 1.2, 765709, 91.11, 57.18, 0.72, 0.79, 45.73, 7.97, NYSE
Mednax, MD, 53.75, 54.19, 53.24, 54.18, 0.64, 1.2, 327103, 72.13, 40.56, 0.0, 0.0, 19.14, 1.38, NYSE
Potbelly, PBPB, 12.5, 12.65, 12.5, 12.65, 0.15, 1.2, 98102, 14.28, 10.5, 0.0, 0.0, 140.56, 2.85, NASDAQ Global
United Insurance Holdings, UIHC, 19.41, 19.65, 19.13, 19.61, 0.23, 1.19, 159324, 20.31, 13.05, 0.24, 1.22, 0.0, 13.68, NASDAQ Capital
Noble, NE, 5.16, 5.18, 4.97, 5.1, 0.06, 1.19, 5005011, 7.76, 3.14, 0.0, 0.0, 0.0, 12.83, NYSE
Simpson Manufacturing, SSD, 59.62, 60.45, 59.42, 60.43, 0.71, 1.19, 455784, 61.62, 39.82, 0.84, 1.39, 29.92, 5.26, NYSE
Thermo Fisher Scientific, TMO, 216.37, 218.74, 215.01, 217.88, 2.56, 1.19, 1578235, 218.74, 141.97, 0.6, 0.28, 36.99, 14.75, NYSE
