Symbol,Quarter,CashAndEquivalents,ShortTermInvestments,NetReceivables,Inventory,OtherCurrentAssets,TotalCurrentAssets,LongTermInvestments,FixedAssets,Goodwill,IntangibleAssets,OtherAssets,DeferredAssetCharges,TotalAssets,AccountsPayable,ShortTermDebt,OtherCurrentLiabilities,TotalCurrentLiabilities,LongTermDebt,OtherLiabilities,DeferredLiabilityCharges,MiscStocks,MinorityInterest,TotalLiabilities,CommonStocks,CapitalSurplus,RetainedEarnings,TreasuryStock,OtherEquity,TotalEquity,TotalLiabilitiesAndEquity
TYPE,3Q2017,84540.0000,0.0000,32738.0000,0.0000,6361.0000,123639.0000,0.0000,16690.0000,278487.0000,86555.0000,15910.0000,0.0000,521281.0000,33908.0000,0.0000,16898.0000,50806.0000,96000.0000,20207.0000,38286.0000,0.0000,0.0000,205299.0000,44.0000,292272.0000,90657.0000,-63359.0000,-3632.0000,315982.0000,521281.0000,
TYPE,4Q2016,91434.0000,0.0000,29516.0000,0.0000,4631.0000,125581.0000,0.0000,14166.0000,273489.0000,90717.0000,21067.0000,0.0000,525020.0000,32405.0000,0.0000,16081.0000,48486.0000,105000.0000,19776.0000,37780.0000,0.0000,0.0000,211042.0000,43.0000,274946.0000,105718.0000,-56232.0000,-10497.0000,313978.0000,525020.0000,
USO,1Q2017,2986664.0000,0.0000,364.0000,0.0000,0.0000,0.0000,14799.0000,0.0000,0.0000,0.0000,1191.0000,0.0000,3003018.0000,2453.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2453.0000,0.0000,0.0000,0.0000,0.0000,3000565.0000,0.0000,2453.0000,
USO,2Q2017,3281695.0000,0.0000,374.0000,0.0000,0.0000,0.0000,-6255.0000,0.0000,0.0000,0.0000,1104.0000,0.0000,3276918.0000,2290.0000,0.0000,0.0000,0.0000,0.0000,105659.0000,0.0000,0.0000,0.0000,107949.0000,0.0000,0.0000,0.0000,0.0000,3168970.0000,0.0000,107949.0000,
USO,3Q2017,2206896.0000,0.0000,33724.0000,0.0000,0.0000,0.0000,122543.0000,0.0000,0.0000,0.0000,1016.0000,0.0000,2364180.0000,55458.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55458.0000,0.0000,0.0000,0.0000,0.0000,2308722.0000,0.0000,55458.0000,
USO,4Q2016,3170383.0000,0.0000,228.0000,0.0000,0.0000,0.0000,111291.0000,0.0000,0.0000,0.0000,1277.0000,0.0000,3283178.0000,114278.0000,0.0000,0.0000,0.0000,0.0000,66944.0000,0.0000,0.0000,0.0000,181221.0000,0.0000,0.0000,0.0000,0.0000,3101957.0000,0.0000,181221.0000,
VRNS,1Q2017,51070.0000,0.0000,27466.0000,0.0000,78042.0000,156578.0000,0.0000,10786.0000,0.0000,0.0000,778.0000,0.0000,168142.0000,23161.0000,0.0000,54576.0000,77737.0000,0.0000,6874.0000,4261.0000,0.0000,0.0000,88872.0000,27.0000,197237.0000,-119639.0000,0.0000,1645.0000,79270.0000,168142.0000,
VRNS,2Q2017,53539.0000,68039.0000,41313.0000,0.0000,7571.0000,170462.0000,0.0000,11160.0000,0.0000,0.0000,818.0000,0.0000,182440.0000,32117.0000,0.0000,57457.0000,89574.0000,0.0000,6745.0000,3889.0000,0.0000,0.0000,100208.0000,27.0000,204751.0000,-124674.0000,0.0000,2128.0000,82232.0000,182440.0000,
VRNS,3Q2017,53478.0000,74963.0000,44680.0000,0.0000,5500.0000,178621.0000,0.0000,11512.0000,0.0000,0.0000,861.0000,0.0000,190994.0000,33532.0000,0.0000,58383.0000,91915.0000,0.0000,6988.0000,5047.0000,0.0000,0.0000,103950.0000,28.0000,213995.0000,-127988.0000,0.0000,1009.0000,87044.0000,190994.0000,
VRSN,1Q2017,454592.0000,1331780.0000,0.0000,0.0000,30852.0000,1817224.0000,0.0000,262352.0000,52527.0000,0.0000,163152.0000,20264.0000,2315519.0000,155006.0000,625893.0000,718488.0000,1499387.0000,1237648.0000,113206.0000,653027.0000,0.0000,0.0000,3503268.0000,325.0000,16838202.0000,-18023169.0000,0.0000,-3107.0000,-1187749.0000,2315519.0000,
VRSN,2Q2017,242426.0000,1566017.0000,0.0000,0.0000,35647.0000,1844090.0000,0.0000,261870.0000,52527.0000,0.0000,165118.0000,20646.0000,2344251.0000,178250.0000,628908.0000,715981.0000,1523139.0000,1238107.0000,112327.0000,673836.0000,0.0000,0.0000,3547409.0000,325.0000,16699476.0000,-17900069.0000,0.0000,-2890.0000,-1203158.0000,2344251.0000,
VRSN,3Q2017,286822.0000,2078905.0000,0.0000,0.0000,40293.0000,2406020.0000,0.0000,265306.0000,52527.0000,0.0000,164052.0000,20458.0000,2908363.0000,193462.0000,624474.0000,717586.0000,1535522.0000,1781912.0000,130246.0000,690621.0000,0.0000,0.0000,4138301.0000,325.0000,16570518.0000,-17797627.0000,0.0000,-3154.0000,-1229938.0000,2908363.0000,
VRSN,4Q2016,231945.0000,1565962.0000,13051.0000,0.0000,31384.0000,1842342.0000,0.0000,266125.0000,52527.0000,0.0000,164193.0000,9385.0000,2334572.0000,203920.0000,629764.0000,688265.0000,1521949.0000,1237189.0000,117172.0000,658857.0000,0.0000,0.0000,3535167.0000,324.0000,16987488.0000,-18184954.0000,0.0000,-3453.0000,-1200595.0000,2334572.0000,
VZ,1Q2017,4307000.0000,0.0000,16863000.0000,1194000.0000,4794000.0000,27158000.0000,1080000.0000,85975000.0000,27630000.0000,96666000.0000,8222000.0000,0.0000,246731000.0000,14826000.0000,3707000.0000,8131000.0000,26664000.0000,112839000.0000,34344000.0000,47847000.0000,0.0000,1544000.0000,223238000.0000,424000.0000,11161000.0000,16153000.0000,-7144000.0000,2899000.0000,23493000.0000,246731000.0000,
VZ,2Q2017,4583000.0000,0.0000,19771000.0000,1116000.0000,3353000.0000,28823000.0000,1075000.0000,86611000.0000,28527000.0000,99147000.0000,8795000.0000,0.0000,252978000.0000,17825000.0000,1153000.0000,8780000.0000,27758000.0000,116390000.0000,34563000.0000,47506000.0000,0.0000,1572000.0000,227789000.0000,424000.0000,11099000.0000,18159000.0000,-7142000.0000,2649000.0000,25189000.0000,252978000.0000,
VZ,3Q2017,4487000.0000,0.0000,21549000.0000,1276000.0000,3555000.0000,30867000.0000,1054000.0000,86622000.0000,28725000.0000,98876000.0000,8538000.0000,0.0000,254682000.0000,18434000.0000,2180000.0000,8316000.0000,28930000.0000,115317000.0000,33639000.0000,48345000.0000,0.0000,1603000.0000,227834000.0000,424000.0000,11098000.0000,19373000.0000,-7141000.0000,3094000.0000,26848000.0000,254682000.0000,
VZ,4Q2016,2880000.0000,0.0000,17513000.0000,1202000.0000,4800000.0000,26395000.0000,1110000.0000,85364000.0000,27205000.0000,95570000.0000,8536000.0000,0.0000,244180000.0000,19593000.0000,2645000.0000,8102000.0000,30340000.0000,105433000.0000,38411000.0000,45964000.0000,0.0000,1508000.0000,221656000.0000,424000.0000,11182000.0000,15059000.0000,-7263000.0000,3122000.0000,22524000.0000,244180000.0000,
WMT,1Q2017,6545000.0000,0.0000,5252000.0000,43361000.0000,2178000.0000,57336000.0000,0.0000,114169000.0000,17575000.0000,0.0000,10638000.0000,0.0000,199718000.0000,67721000.0000,6472000.0000,0.0000,74193000.0000,40025000.0000,0.0000,9386000.0000,0.0000,2423000.0000,126027000.0000,302000.0000,2223000.0000,84120000.0000,0.0000,-12954000.0000,73691000.0000,199718000.0000,
WMT,2Q2017,6469000.0000,0.0000,5395000.0000,43442000.0000,1457000.0000,56763000.0000,0.0000,115353000.0000,18037000.0000,0.0000,11413000.0000,0.0000,201566000.0000,65637000.0000,7174000.0000,0.0000,72811000.0000,40469000.0000,0.0000,9240000.0000,0.0000,2657000.0000,125177000.0000,299000.0000,2352000.0000,84838000.0000,0.0000,-11100000.0000,76389000.0000,201566000.0000,
WMT,3Q2017,7026000.0000,0.0000,5865000.0000,50147000.0000,2330000.0000,65368000.0000,0.0000,115299000.0000,18204000.0000,0.0000,10543000.0000,0.0000,209414000.0000,71414000.0000,9021000.0000,0.0000,80435000.0000,40906000.0000,0.0000,9167000.0000,0.0000,2761000.0000,133269000.0000,297000.0000,2501000.0000,84480000.0000,0.0000,-11133000.0000,76145000.0000,209414000.0000,
WMT,4Q2016,6867000.0000,0.0000,5835000.0000,43046000.0000,1941000.0000,57689000.0000,0.0000,114178000.0000,17037000.0000,0.0000,9921000.0000,0.0000,198825000.0000,63008000.0000,3920000.0000,0.0000,66928000.0000,42018000.0000,0.0000,9344000.0000,0.0000,2737000.0000,121027000.0000,305000.0000,2371000.0000,89354000.0000,0.0000,-14232000.0000,77798000.0000,198825000.0000,
X,1Q2017,1326000.0000,0.0000,1399000.0000,1718000.0000,35000.0000,4478000.0000,533000.0000,3880000.0000,0.0000,173000.0000,118000.0000,4000.0000,9186000.0000,2437000.0000,281000.0000,0.0000,2718000.0000,2752000.0000,1180000.0000,362000.0000,0.0000,1000.0000,7013000.0000,176000.0000,3969000.0000,-425000.0000,-119000.0000,-1428000.0000,2173000.0000,9186000.0000,
X,2Q2017,1522000.0000,0.0000,1444000.0000,1727000.0000,30000.0000,4723000.0000,548000.0000,4010000.0000,0.0000,171000.0000,124000.0000,4000.0000,9580000.0000,2576000.0000,175000.0000,0.0000,2751000.0000,2752000.0000,1151000.0000,371000.0000,0.0000,1000.0000,7026000.0000,176000.0000,3942000.0000,-165000.0000,-96000.0000,-1303000.0000,2554000.0000,9580000.0000,
X,3Q2017,1694000.0000,0.0000,1527000.0000,1737000.0000,43000.0000,5001000.0000,470000.0000,4111000.0000,0.0000,169000.0000,127000.0000,0.0000,9878000.0000,2649000.0000,3000.0000,0.0000,2652000.0000,2896000.0000,1119000.0000,403000.0000,0.0000,1000.0000,7071000.0000,176000.0000,3937000.0000,-18000.0000,-92000.0000,-1196000.0000,2807000.0000,9878000.0000,
X,4Q2016,1515000.0000,0.0000,1248000.0000,1573000.0000,20000.0000,4356000.0000,528000.0000,3979000.0000,0.0000,175000.0000,116000.0000,6000.0000,9160000.0000,2281000.0000,50000.0000,0.0000,2331000.0000,2981000.0000,1216000.0000,357000.0000,0.0000,1000.0000,6886000.0000,176000.0000,4027000.0000,-250000.0000,-182000.0000,-1497000.0000,2274000.0000,9160000.0000,
XOM,1Q2017,4897000.0000,0.0000,21842000.0000,14873000.0000,1519000.0000,43131000.0000,38268000.0000,253147000.0000,0.0000,0.0000,9663000.0000,0.0000,344209000.0000,34891000.0000,18483000.0000,0.0000,53374000.0000,30299000.0000,41993000.0000,34772000.0000,0.0000,6620000.0000,167058000.0000,14415000.0000,0.0000,408707000.0000,-225292000.0000,-20679000.0000,177151000.0000,344209000.0000,
XOM,2Q2017,4042000.0000,0.0000,21289000.0000,15305000.0000,1544000.0000,42180000.0000,37719000.0000,252987000.0000,0.0000,0.0000,10126000.0000,0.0000,343012000.0000,33764000.0000,17185000.0000,0.0000,50949000.0000,29704000.0000,41936000.0000,34585000.0000,0.0000,6660000.0000,163834000.0000,14617000.0000,0.0000,408768000.0000,-225305000.0000,-18902000.0000,179178000.0000,343012000.0000,
XOM,3Q2017,4266000.0000,0.0000,23263000.0000,16743000.0000,1480000.0000,45752000.0000,37649000.0000,255556000.0000,0.0000,0.0000,10470000.0000,0.0000,349427000.0000,38036000.0000,15741000.0000,0.0000,53777000.0000,29872000.0000,42150000.0000,34430000.0000,0.0000,6922000.0000,167151000.0000,14783000.0000,0.0000,409449000.0000,-225305000.0000,-16651000.0000,182276000.0000,349427000.0000,
XOM,4Q2016,3657000.0000,0.0000,21394000.0000,15080000.0000,1285000.0000,41416000.0000,35102000.0000,244224000.0000,0.0000,0.0000,9572000.0000,0.0000,330314000.0000,33808000.0000,13830000.0000,0.0000,47638000.0000,34056000.0000,40749000.0000,34041000.0000,0.0000,6505000.0000,162989000.0000,12157000.0000,0.0000,407831000.0000,-230424000.0000,-22239000.0000,167325000.0000,330314000.0000,
