Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Hyatt Hotels, H, 78.39, 79.29, 76.45, 76.76, -2.54, -3.2, 741257, 82.5, 50.21, 0.0, 0.0, 46.23, 4.38, NYSE
L Brands, LB, 47.03, 48.43, 45.89, 45.99, -1.52, -3.2, 3650478, 63.1, 35.0, 2.4, 5.22, 13.98, -23.63, NYSE
Luxoft Holding, LXFT, 54.25, 54.85, 52.9, 52.95, -1.75, -3.2, 175437, 67.85, 40.15, 0.0, 0.0, 31.71, -4.94, NYSE
Pinnacle Foods, PF, 59.88, 60.17, 58.14, 58.14, -1.92, -3.2, 1269829, 66.67, 52.81, 1.3, 2.24, 39.28, -2.24, NYSE
Westlake Chemical, WLK, 105.44, 107.92, 102.14, 103.0, -3.41, -3.2, 1040373, 115.19, 59.58, 0.84, 0.82, 22.39, -3.31, NYSE
Worthington Industries, WOR, 45.3, 46.24, 44.12, 44.12, -1.46, -3.2, 389685, 53.27, 39.52, 0.84, 1.9, 16.1, 0.14, NYSE
Antero Resources, AR, 18.36, 18.7, 17.94, 18.08, -0.6, -3.21, 3852453, 26.6, 17.59, 0.0, 0.0, 0.0, -4.84, NYSE
Berry Global Group, BERY, 58.32, 58.79, 56.22, 56.62, -1.88, -3.21, 1202373, 61.71, 47.19, 0.0, 0.0, 22.29, -3.49, NYSE
HSBC Holdings ADR, HSBC, 53.02, 53.3, 51.54, 51.58, -1.71, -3.21, 3243739, 55.89, 39.63, 2.0, 3.88, 78.42, -0.12, NYSE
Itau CorpBanca ADR, ITCB, 15.28, 15.28, 14.49, 14.76, -0.49, -3.21, 18034, 15.58, 10.28, 0.0, 0.02, 100.27, 9.82, NYSE
ZTO Express (Cayman) ADR, ZTO, 15.16, 15.57, 15.0, 15.06, -0.5, -3.21, 2228834, 18.08, 11.14, 0.0, 0.0, 27.57, -4.98, NYSE
XpresSpa Group, XSPA, 0.92, 0.95, 0.88, 0.88, -0.03, -3.21, 219381, 2.6, 0.88, 0.0, 0.0, 0.0, -35.69, NASDAQ Capital
8Point3 Energy Partners, CAFD, 14.21, 14.25, 13.56, 13.83, -0.46, -3.22, 331326, 15.92, 11.51, 1.12, 8.1, 23.84, -9.07, NASDAQ Global
Kilroy Realty, KRC, 68.61, 69.15, 66.31, 66.68, -2.22, -3.22, 675184, 78.33, 66.31, 1.7, 2.55, 43.93, -10.68, NYSE
Masonite International, DOOR, 71.05, 72.15, 69.05, 69.05, -2.3, -3.22, 286206, 85.3, 50.4, 0.0, 0.0, 21.85, -6.88, NYSE
PetroChina ADR, PTR, 78.5, 78.5, 76.04, 76.05, -2.53, -3.22, 219709, 82.33, 60.69, 2.08, 2.74, 40.49, 8.74, NYSE
Avadel Pharmaceuticals ADR, AVDL, 9.76, 9.95, 9.52, 9.6, -0.32, -3.23, 495704, 12.3, 7.52, 0.0, 0.0, 4.91, 17.07, NASDAQ Global
Accenture Cl A, ACN, 156.12, 159.27, 150.73, 151.83, -5.07, -3.23, 3246228, 162.6, 113.38, 2.66, 1.75, 26.87, -0.82, NYSE
Barnes&Noble, BKS, 4.6, 4.7, 4.5, 4.5, -0.15, -3.23, 1347318, 10.95, 4.4, 0.6, 13.33, 21.43, -32.84, NYSE
Caleres, CAL, 28.55, 29.05, 27.85, 27.86, -0.93, -3.23, 437054, 34.34, 22.39, 0.28, 1.01, 19.81, -16.79, NYSE
Diamondrock Hospitality, DRH, 11.42, 11.51, 11.05, 11.1, -0.37, -3.23, 2450024, 12.11, 10.43, 0.5, 4.5, 24.67, -1.68, NYSE
Plantronics, PLT, 56.46, 57.72, 55.44, 55.46, -1.85, -3.23, 164650, 60.49, 41.28, 0.6, 1.08, 264.1, 10.08, NYSE
Radiant Logistics, RLGT, 4.61, 4.63, 4.45, 4.49, -0.15, -3.23, 206066, 6.65, 3.56, 0.0, 0.0, 112.25, -2.39, NYSE American
Reed's, REED, 1.5, 1.55, 1.45, 1.5, -0.05, -3.23, 9673, 4.75, 1.3, 0.0, 0.0, 0.0, -3.23, NYSE American
Canadian Pacific Railway, CP, 177.58, 178.76, 173.44, 173.46, -5.81, -3.24, 624998, 188.75, 143.2, 1.76, 1.02, 13.59, -5.09, NYSE
Chesapeake Utilities, CPK, 72.4, 72.85, 69.85, 70.1, -2.35, -3.24, 48098, 86.35, 64.3, 1.3, 1.85, 26.06, -10.76, NYSE
China Yuchai International, CYD, 25.25, 25.67, 24.47, 24.51, -0.82, -3.24, 76237, 27.98, 13.55, 0.0, 0.0, 8.82, 2.13, NYSE
Dun&Bradstreet, DNB, 120.33, 121.84, 117.2, 117.2, -3.92, -3.24, 334703, 125.56, 100.46, 2.01, 1.72, 22.12, -1.02, NYSE
Genpact, G, 33.08, 33.33, 32.24, 32.24, -1.08, -3.24, 820231, 34.79, 23.34, 0.24, 0.74, 23.36, 1.58, NYSE
Vistra Energy, VST, 18.99, 19.2, 18.36, 18.53, -0.62, -3.24, 3271967, 21.2, 14.5, 0.0, 0.0, 0.33, 1.15, NYSE
Vonage Holdings, VG, 10.75, 10.77, 10.4, 10.45, -0.35, -3.24, 1739346, 11.32, 5.74, 0.0, 0.0, 130.63, 2.75, NYSE
CUI Global, CUI, 2.8, 2.81, 2.66, 2.69, -0.09, -3.24, 52650, 6.7, 2.44, 0.0, 0.0, 0.0, -2.18, NASDAQ Capital
Golden Minerals, AUMN, 0.4, 0.42, 0.4, 0.4, -0.01, -3.24, 185766, 0.81, 0.37, 0.0, 0.0, 0.0, -6.76, NYSE American
American States Water, AWR, 55.29, 55.74, 53.62, 53.81, -1.81, -3.25, 310927, 60.0, 41.14, 1.02, 1.9, 29.4, -7.08, NYSE
Avery Dennison, AVY, 116.79, 118.29, 113.76, 113.81, -3.82, -3.25, 1108251, 123.67, 78.17, 1.8, 1.58, 36.36, -0.91, NYSE
Knot Offshore Partners, KNOP, 20.0, 20.15, 19.15, 19.35, -0.65, -3.25, 288096, 24.42, 19.15, 2.08, 10.75, 9.0, -6.75, NYSE
Robert Half International, RHI, 55.9, 56.66, 54.4, 54.41, -1.83, -3.25, 1743768, 60.59, 42.92, 0.96, 1.76, 23.45, -2.03, NYSE
Tenaris ADR, TS, 33.61, 33.98, 32.7, 32.72, -1.1, -3.25, 2202781, 36.34, 25.91, 0.52, 1.59, 53.38, 2.7, NYSE
Valmont Industries, VMI, 159.35, 162.39, 154.4, 154.7, -5.2, -3.25, 136505, 176.35, 140.1, 1.5, 0.97, 18.46, -6.72, NYSE
AzurRx BioPharma, AZRX, 3.03, 3.14, 2.92, 2.98, -0.1, -3.25, 23860, 5.25, 2.4, 0.0, 0.0, 0.0, -18.07, NASDAQ Capital
SemiLEDS, LEDS, 4.31, 4.4, 4.1, 4.17, -0.14, -3.25, 74668, 10.49, 1.61, 0.0, 0.0, 0.0, 11.8, NASDAQ Capital
Atlantic Coast Financial, ACFC, 10.36, 10.43, 10.08, 10.08, -0.34, -3.26, 34609, 10.9, 6.9, 0.0, 0.0, 48.0, 6.89, NASDAQ Global
BankFinancial, BFIN, 15.8, 15.92, 15.34, 15.42, -0.52, -3.26, 26759, 17.0, 13.17, 0.32, 2.08, 30.84, 0.52, NASDAQ Global
American Homes 4 Rent Cl A, AMH, 20.15, 20.22, 19.5, 19.59, -0.66, -3.26, 2607792, 23.98, 19.5, 0.2, 1.02, 0.0, -10.3, NYSE
Aptiv, APTV, 93.88, 95.63, 91.01, 91.14, -3.07, -3.26, 2608849, 96.91, 61.1, 0.88, 0.97, 18.05, 7.44, NYSE
Bank of Nova Scotia, BNS, 63.73, 63.83, 62.15, 62.29, -2.1, -3.26, 1079005, 66.78, 53.86, 2.49, 3.99, 12.55, -3.47, NYSE
Braskem ADR, BAK, 30.48, 30.9, 29.22, 29.38, -0.99, -3.26, 524605, 33.73, 17.44, 0.75, 2.57, 0.0, 11.88, NYSE
Culp, CULP, 30.4, 30.84, 29.45, 29.7, -1.0, -3.26, 18265, 34.5, 26.15, 0.36, 1.21, 17.27, -11.34, NYSE
GAMCO Investors Cl A, GBL, 28.09, 28.09, 27.03, 27.28, -0.92, -3.26, 70432, 32.6, 27.03, 0.08, 0.29, 8.53, -7.99, NYSE
McDonald's, MCD, 168.61, 169.46, 153.86, 163.85, -5.53, -3.26, 6996712, 178.7, 123.95, 4.04, 2.47, 25.76, -4.8, NYSE
Statoil ADR, STO, 22.86, 22.88, 21.85, 21.97, -0.74, -3.26, 3641985, 24.47, 16.18, 0.0, 0.0, 0.0, 2.57, NYSE
Teradyne, TER, 43.69, 45.06, 42.91, 42.97, -1.45, -3.26, 2759035, 48.53, 28.38, 0.36, 0.84, 33.83, 2.63, NYSE
