Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Kratos Defense&Security Solutions, KTOS, 11.94, 11.98, 11.15, 11.41, -0.59, -4.92, 4755038, 13.93, 6.96, 0.0, 0.0, 0.0, 7.74, NASDAQ Global
Monster Digital, MSDI, 0.51, 0.61, 0.51, 0.58, -0.03, -4.93, 567291, 2.35, 0.4, 0.0, 0.0, 0.0, -4.92, NASDAQ Capital
North American Energy Partners, NOA, 5.05, 5.15, 4.8, 4.8, -0.25, -4.95, 48734, 5.7, 3.7, 0.06, 1.3, 149.07, -3.03, NYSE
Ohio Valley Banc, OVBC, 42.0, 42.0, 40.8, 41.1, -2.15, -4.97, 6694, 43.85, 27.3, 0.84, 2.04, 0.0, 1.73, NASDAQ Global
China Recycling Energy, CREG, 2.82, 2.86, 2.61, 2.67, -0.14, -4.98, 337655, 9.39, 0.95, 0.0, 0.0, 0.0, -4.64, NASDAQ Capital
Leap Therapeutics, LPTX, 7.06, 7.06, 6.66, 6.68, -0.35, -4.98, 41367, 9.44, 4.9, 0.0, 0.0, 0.0, 7.05, NASDAQ Global
Turtle Beach, HEAR, 0.51, 0.51, 0.49, 0.49, -0.03, -4.98, 220545, 1.54, 0.42, 0.0, 0.0, 0.0, 9.05, NASDAQ Global
Sky Solar Holdings ADR, SKYS, 1.21, 1.25, 1.14, 1.14, -0.06, -5.0, 56650, 3.62, 1.0, 0.0, 0.0, 9.57, -24.0, NASDAQ Capital
pSivida, PSDV, 1.19, 1.21, 1.11, 1.14, -0.06, -5.0, 433101, 2.45, 1.02, 0.0, 0.0, 0.0, 5.56, NASDAQ Global
Spark Therapeutics, ONCE, 59.45, 59.87, 55.43, 56.05, -2.95, -5.0, 584567, 91.75, 41.06, 0.0, 0.0, 0.0, 9.0, NASDAQ Global
Ceco Environmental, CECE, 4.78, 4.79, 4.5, 4.53, -0.24, -5.03, 285577, 13.28, 4.5, 0.3, 6.62, 0.0, -11.7, NASDAQ Global
Progenics Pharmaceuticals, PGNX, 6.17, 6.24, 5.85, 5.85, -0.31, -5.03, 1320100, 11.72, 4.6, 0.0, 0.0, 0.0, -1.68, NASDAQ Global
SunRun, RUN, 6.7, 6.73, 6.32, 6.33, -0.34, -5.1, 1151914, 7.78, 4.21, 0.0, 0.0, 7.21, 7.29, NASDAQ Global
Diffusion Pharmaceuticals, DFFN, 0.66, 0.67, 0.59, 0.61, -0.03, -5.13, 1507358, 6.93, 0.59, 0.0, 0.0, 0.0, -48.31, NASDAQ Capital
Mersana Therapeutics, MRSN, 15.05, 15.36, 14.17, 14.25, -0.77, -5.13, 73080, 21.01, 12.71, 0.0, 0.0, 0.0, -13.27, NASDAQ Global
REGENXBIO, RGNX, 28.55, 28.55, 26.6, 26.8, -1.45, -5.13, 211382, 36.45, 16.3, 0.0, 0.0, 0.0, -19.4, NASDAQ Global
United Therapeutics, UTHR, 136.67, 137.32, 128.79, 129.0, -6.97, -5.13, 650016, 169.89, 112.01, 0.0, 0.0, 11.38, -12.81, NASDAQ Global
Corvel, CRVL, 54.95, 55.55, 51.58, 51.65, -2.8, -5.14, 37071, 61.2, 38.0, 0.0, 0.0, 28.38, -2.36, NASDAQ Global
VIVUS, VVUS, 0.43, 0.43, 0.4, 0.41, -0.02, -5.14, 933501, 1.38, 0.4, 0.0, 0.0, 1.2, -18.92, NASDAQ Global
uniQure, QURE, 19.47, 19.76, 18.37, 18.5, -1.01, -5.18, 262842, 21.35, 4.72, 0.0, 0.0, 0.0, -5.56, NASDAQ Global
Myriad Genetics, MYGN, 38.89, 39.38, 36.6, 36.88, -2.02, -5.19, 680015, 41.57, 15.15, 0.0, 0.0, 24.75, 7.38, NASDAQ Global
Bison Capital Acquisition WT, BCACW, 0.38, 0.38, 0.38, 0.38, -0.02, -5.25, 2100, 0.47, 0.23, 0.0, 0.0, 0.0, 5.28, NASDAQ Capital
